Exchange,Token,LotSize,Symbol,TradingSymbol,Instrument,TickSize,Unnamed: 7,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
NSE,17833,1,AHLUCONT,AHLUCONT-EQ,EQ,0.05,,Ahluwalia Contracts (India) Limited,EQ,14-DEC-2009,2,1,INE758C01029,2
NSE,19438,1,AHLEAST,AHLEAST-EQ,EQ,0.01,,Asian Hotels (East) Limited,EQ,11-AUG-2010,10,1,INE926K01017,10
NSE,2004,1,AHLADA,AHLADA-EQ,EQ,0.01,,Ahlada Engineers Limited,EQ,28-JAN-2021,10,1,INE00PV01013,10
NSE,13288,1,AHL,AHL-EQ,EQ,0.05,,Abans Holdings Limited,EQ,23-DEC-2022,2,1,INE00ZE01026,2
NSE,7927,1,AGSTRA,AGSTRA-EQ,EQ,0.01,,AGS Transact Technologies Limited,EQ,31-JAN-2022,10,1,INE583L01014,10
NSE,9046,1,AGROPHOS,AGROPHOS-EQ,EQ,0.01,,Agro Phos India Limited,EQ,08-MAR-2019,10,1,INE740V01019,10
NSE,11072,1,AGRITECH,AGRITECH-EQ,EQ,0.01,,Agri-Tech (India) Limited,EQ,28-JAN-2014,10,1,INE449G01018,10
NSE,24445,1,AGIIL,AGIIL-EQ,EQ,0.05,,Agi Infra Limited,EQ,15-JUL-2024,10,1,INE976R01017,10
NSE,1412,1,AGI,AGI-EQ,EQ,0.05,,AGI Greenpac Limited,EQ,31-MAY-2000,2,1,INE415A01038,2
NSE,3389,1,AGARIND,AGARIND-EQ,EQ,0.05,,Agarwal Industrial Corporation Limited,EQ,26-MAY-2014,10,1,INE204E01012,10
NSE,24159,1,AFIL,AFIL-EQ,EQ,0.01,,Akme Fintrade (India) Limited,EQ,26-JUN-2024,10,1,INE916Y01019,10
NSE,11343,1,AFFLE,AFFLE-EQ,EQ,0.05,,Affle (India) Limited,EQ,08-AUG-2019,2,1,INE00WC01027,2
NSE,9810,1,AETHER,AETHER-EQ,EQ,0.05,,Aether Industries Limited,EQ,03-JUN-2022,10,1,INE0BWX01014,10
NSE,18268,1,AEROFLEX,AEROFLEX-EQ,EQ,0.01,,Aeroflex Industries Limited,EQ,31-AUG-2023,2,1,INE024001021,2
NSE,40,1,AEGISLOG,AEGISLOG-EQ,EQ,0.05,,Aegis Logistics Limited,EQ,03-APR-1996,1,1,INE208C01025,1
NSE,18039,1,ADVENZYMES,ADVENZYMES-EQ,EQ,0.05,,Advanced Enzyme Technologies Limited,EQ,01-AUG-2016,2,1,INE837H01020,2
NSE,14745,1,ADVANIHOTR,ADVANIHOTR-EQ,EQ,0.01,,Advani Hotels & Resorts (India) Limited,EQ,25-JUN-2007,2,1,INE199C01026,2
NSE,14813,1,ADSL,ADSL-EQ,EQ,0.05,,Allied Digital Services Limited,EQ,25-JUL-2007,5,1,INE102I01027,5
NSE,4953,1,ADROITINFO,ADROITINFO-EQ,EQ,0.01,,Adroit Infotech Limited,EQ,13-AUG-1997,10,1,INE737B01033,10
NSE,34,1,ADORWELD,ADORWELD-EQ,EQ,0.05,,Ador Welding Limited,EQ,10-MAY-1995,10,1,INE045A01017,10
NSE,245,1,ADL,ADL-EQ,EQ,0.01,,Archidply Decor Limited,EQ,01-OCT-2020,10,1,INE0CHO01012,10
NSE,19761,1,ADFFOODS,ADFFOODS-EQ,EQ,0.05,,ADF Foods Limited,EQ,15-SEP-2010,2,1,INE982B01027,2
NSE,17388,1,ADANIPOWER,ADANIPOWER-EQ,EQ,0.05,,Adani Power Limited,EQ,20-AUG-2009,10,1,INE814H01011,10
NSE,15083,1,ADANIPORTS,ADANIPORTS-EQ,EQ,0.05,,Adani Ports and Special Economic Zone Limited,EQ,27-NOV-2007,2,1,INE742F01042,2
NSE,3563,1,ADANIGREEN,ADANIGREEN-EQ,EQ,0.05,,Adani Green Energy Limited,EQ,18-JUN-2018,10,1,INE364U01010,10
NSE,25,1,ADANIENT,ADANIENT-EQ,EQ,0.05,,Adani Enterprises Limited,EQ,04-JUN-1997,1,1,INE423A01024,1
NSE,10217,1,ADANIENSOL,ADANIENSOL-EQ,EQ,0.05,,Adani Energy Solutions Limited,EQ,31-JUL-2015,10,1,INE931S01010,10
NSE,13688,1,ACLGATI,ACLGATI-EQ,EQ,0.01,,Allcargo Gati Limited,EQ,10-OCT-2006,2,1,INE152B01027,2
NSE,15420,1,ACL,ACL-EQ,EQ,0.01,,Andhra Cements Limited,EQ,10-MAY-2023,10,1,INE666E01020,10
NSE,12024,1,ACI,ACI-EQ,EQ,0.05,,Archean Chemical Industries Limited,EQ,21-NOV-2022,2,1,INE128X01021,2
NSE,11779,1,ACEINTEG,ACEINTEG-EQ,EQ,0.01,,Ace Integrated Solutions Limited,EQ,04-NOV-2022,10,1,INE543V01017,10
NSE,13587,1,ACE,ACE-EQ,EQ,0.05,,Action Construction Equipment Limited,EQ,26-SEP-2006,2,1,INE731H01025,2
NSE,1472,1,ACCURACY,ACCURACY-BE,BE,0.01,,Accuracy Shipping Limited,BE,11-DEC-2020,1,1,INE648Z01023,1
